region,population,articles/population
EUROPE,845024.2310000088,0.01866928712958982
AFRICA,384499.10900001606,0.01779978116932311
LATIN AMERICA AND THE CARIBBEAN,431122.6580000023,0.012230857975458045
OCEANIA,326482.6009999984,0.009577845773165766
NORTHERN AMERICA,384757.37200000713,0.004964167392223389
ASIA,3686838.1429996216,0.003171009831879457
